"Nome","Último","Máxima","Mínima","Variação","Var. %","Vol.","Hora"
"Petrobras PN","31,14","31,32","30,36","0,78","2,57%","54,1M","17:54:59"
"Magazine Luiza ON","8,20","8,55","8,05","-0,38","-4,43%","28,4M","17:54:59"
"Banco do Brasil ON","21,20","21,82","21,05","-0,67","-3,06%","39,31M","17:54:59"
"Azul PN","0,01","0,01","0,01","0,00","0,00%","3,05B","12/01"
"Gol PN","9,90","9,95","9,53","0,15","1,54%","474,97M","17:54:59"
"Oi ON","0,16","0,16","0,16","-0,01","-5,88%","3,42M","17:54:59"
"Vale ON","75,35","76,05","74,28","0,61","0,82%","24,54M","17:54:59"
"Casas Bahia ON","2,76","2,93","2,76","-0,16","-5,48%","5,25M","17:54:59"
"Prio ON","42,80","43,77","42,80","-0,44","-1,02%","14,26M","17:54:59"
"CVC Brasil ON","2,60","2,60","2,44","0,01","0,39%","16,13M","17:54:59"
"Brava ON","17,60","17,89","17,26","0,19","1,09%","12,41M","17:54:59"
"Cemig PN","10,72","10,91","10,64","-0,18","-1,65%","16,71M","17:54:59"
"Cogna ON","3,58","3,65","3,51","-0,07","-1,92%","33,03M","17:54:59"
"BB Seguridade ON","34,69","34,91","34,47","-0,11","-0,32%","6,19M","17:54:59"
"Marfrig Global Food","19,29","19,82","18,95","-0,49","-2,48%","6,4M","17:54:59"
"Uniao Pet Participacoes","3,38","3,54","3,16","-0,10","-2,87%","6,08M","17:54:59"
"Americanas ON","4,88","4,99","4,86","-0,10","-2,01%","1,99M","17:54:59"
"Hapvida ON","13,98","15,27","13,80","-1,28","-8,39%","19,83M","17:54:59"
"Bradesco PN ","18,19","18,38","18,06","-0,21","-1,14%","25,75M","17:54:59"
"Minerva ON","5,36","5,49","5,30","-0,01","-0,19%","18,11M","17:54:59"
"Weg ON","46,40","46,76","45,81","-0,35","-0,75%","5,29M","17:54:59"
"Marcopolo PN","5,88","6,00","5,84","-0,16","-2,65%","9,48M","17:54:59"
"JHSF ON","8,34","8,40","8,18","-0,06","-0,71%","7,27M","17:54:59"
"Ambipar ON","0,29","0,31","0,29","-0,02","-6,45%","8,79M","17:54:59"
"Lojas Renner ON","13,24","13,43","12,96","-0,17","-1,27%","11,58M","17:54:59"
"Raizen PN","0,83","0,88","0,83","-0,02","-2,35%","37,88M","17:54:59"
"Itaúsa PN","11,96","12,06","11,91","-0,04","-0,33%","33,78M","17:54:59"
"Itaú Unibanco PN","39,17","39,57","39,17","-0,32","-0,81%","17,4M","17:54:59"
"Embraer ON","97,09","97,86","96,21","-0,84","-0,86%","2,57M","17:54:59"
"Vamos ON","3,57","3,76","3,53","0,00","0,00%","28,87M","17:54:59"
